close_yf,Date
14773.2001953125,2021-04-16
14512.849609375,2021-04-19
14466.7998046875,2021-04-20
14564.25,2021-04-22
14510.9501953125,2021-04-23
14645.900390625,2021-04-26
14807.75,2021-04-27
15004.650390625,2021-04-28
15029.9501953125,2021-04-29
14790.599609375,2021-04-30
14811.2001953125,2021-05-03
14683.7001953125,2021-05-04
14823.2001953125,2021-05-05
14928.599609375,2021-05-06
15021.650390625,2021-05-07
15146.650390625,2021-05-10
15071.400390625,2021-05-11
14940.0,2021-05-12
14893.2001953125,2021-05-14
15134.150390625,2021-05-17
15325.0,2021-05-18
15272.5498046875,2021-05-19
15164.4501953125,2021-05-20
15408.5498046875,2021-05-21
15445.2001953125,2021-05-24
15445.599609375,2021-05-25
15522.349609375,2021-05-26
15564.349609375,2021-05-27
15650.349609375,2021-05-28
15798.7001953125,2021-05-31
15789.400390625,2021-06-01
15832.2001953125,2021-06-02
15952.650390625,2021-06-03
15945.849609375,2021-06-04
16018.599609375,2021-06-07
16017.2001953125,2021-06-08
15904.75,2021-06-09
16021.5,2021-06-10
16079.599609375,2021-06-11
16079.7001953125,2021-06-14
16136.650390625,2021-06-15
16025.5498046875,2021-06-16
15936.2001953125,2021-06-17
15915.5498046875,2021-06-18
15991.25,2021-06-21
16026.9501953125,2021-06-22
15933.150390625,2021-06-23
16011.5498046875,2021-06-24
16087.2001953125,2021-06-25
16055.2001953125,2021-06-28
15992.099609375,2021-06-29
15959.400390625,2021-06-30
15928.099609375,2021-07-01
15957.099609375,2021-07-02
16066.900390625,2021-07-05
16054.900390625,2021-07-06
16117.400390625,2021-07-07
15981.9501953125,2021-07-08
15952.400390625,2021-07-09
15955.9501953125,2021-07-12
16055.599609375,2021-07-13
16091.5,2021-07-14
16160.2001953125,2021-07-15
16172.0498046875,2021-07-16
16006.900390625,2021-07-19
15886.25,2021-07-20
16094.25,2021-07-22
16119.099609375,2021-07-23
16094.2001953125,2021-07-26
16011.0498046875,2021-07-27
15983.900390625,2021-07-28
16045.2001953125,2021-07-29
16040.150390625,2021-07-30
16166.9501953125,2021-08-02
16399.94921875,2021-08-03
16494.55078125,2021-08-04
16520.5,2021-08-05
16476.55078125,2021-08-06
16483.44921875,2021-08-09
16493.849609375,2021-08-10
16490.150390625,2021-08-11
16569.30078125,2021-08-12
16716.150390625,2021-08-13
16748.0,2021-08-16
16805.150390625,2021-08-17
16778.80078125,2021-08-18
16642.150390625,2021-08-20
16673.349609375,2021-08-23
16808.0,2021-08-24
16830.099609375,2021-08-25
16841.599609375,2021-08-26
16930.849609375,2021-08-27
17164.19921875,2021-08-30
17373.099609375,2021-08-31
17343.30078125,2021-09-01
17504.599609375,2021-09-02
17597.44921875,2021-09-03
17641.0,2021-09-06
