date,nav
09-12-2014,8313.75
08-12-2014,8417.85
05-12-2014,8517.15
04-12-2014,8548.50
03-12-2014,8522.75
02-12-2014,8493.85
01-12-2014,8513.00
28-11-2014,8540.60
27-11-2014,8448.15
26-11-2014,8425.90
25-11-2014,8415.75
24-11-2014,8491.80
21-11-2014,8443.00
20-11-2014,8379.25
19-11-2014,8358.20
18-11-2014,8405.40
17-11-2014,8395.75
14-11-2014,8351.90
13-11-2014,8318.10
12-11-2014,8344.05
11-11-2014,8312.95
10-11-2014,8289.95
07-11-2014,8281.75
05-11-2014,8274.50
03-11-2014,8265.85
31-10-2014,8256.85
30-10-2014,8108.00
29-10-2014,8032.80
28-10-2014,7973.15
27-10-2014,7939.20
23-10-2014,7964.80
22-10-2014,7942.95
21-10-2014,7872.65
20-10-2014,7822.30
17-10-2014,7719.85
16-10-2014,7678.50
14-10-2014,7808.95
13-10-2014,7822.40
10-10-2014,7796.15
09-10-2014,7902.45
08-10-2014,7780.55
07-10-2014,7789.30
01-10-2014,7884.25
30-09-2014,7905.70
29-09-2014,7900.60
26-09-2014,7902.15
25-09-2014,7835.75
24-09-2014,7931.85
23-09-2014,7949.65
22-09-2014,8083.80
19-09-2014,8062.80
18-09-2014,8065.70
17-09-2014,7923.50
16-09-2014,7879.80
15-09-2014,8008.90
12-09-2014,8066.50
11-09-2014,8047.30
10-09-2014,8048.55
09-09-2014,8110.45
08-09-2014,8122.40
05-09-2014,8034.05
04-09-2014,8041.10
03-09-2014,8058.75
02-09-2014,8023.25
01-09-2014,7968.05
28-08-2014,7880.40
27-08-2014,7868.30
26-08-2014,7839.80
25-08-2014,7841.80
22-08-2014,7860.90
21-08-2014,7840.35
20-08-2014,7818.90
19-08-2014,7835.15
18-08-2014,7802.90
14-08-2014,7715.05
13-08-2014,7658.85
12-08-2014,7657.45
11-08-2014,7563.25
08-08-2014,7504.10
07-08-2014,7592.50
06-08-2014,7614.15
05-08-2014,7682.95
04-08-2014,7624.85
01-08-2014,7542.45
31-07-2014,7650.35
30-07-2014,7711.30
28-07-2014,7665.90
25-07-2014,7701.90
24-07-2014,7751.95
23-07-2014,7720.75
22-07-2014,7701.80
21-07-2014,7625.60
18-07-2014,7608.70
17-07-2014,7593.95
16-07-2014,7568.05
15-07-2014,7473.95
14-07-2014,7388.35
11-07-2014,7385.80
10-07-2014,7510.25
09-07-2014,7517.85
08-07-2014,7564.00
07-07-2014,7750.55
